Date,Campaign Type,Purchases,Revenue,Cost,CPA,Add to cart,Cost per ATC,AOV
21 Feb 2026,Performance Max,0.800562,587.547916,252.223712,315.0583115361459,8.330843999999999,30.275889453697612,733.9193166800322
21 Feb 2026,Brand,1,2184.649999,235.72732499999998,235.72732499999998,14.479962,16.279554117614396,2184.649999
21 Feb 2026,Other,0.829394,1677.717604,0,0,1.17707,0,2022.823415650463
20 Feb 2026,Generic,1.406828,2931.602214,891.2378709999999,633.5087665300946,16.646839,53.537964234531245,2083.8384038418344
20 Feb 2026,Performance Max,0,0,103.735727,null,0.000468,221657.5363247863,null
20 Feb 2026,Brand,0.207138,2805.824102,162.604321,785.0047842501135,8.533552,19.054705590356747,13545.675356525602
20 Feb 2026,Other,0,0,0,null,0,null,null
19 Feb 2026,Generic,0,0,341.673673,null,8.353539,40.90166730531814,null
19 Feb 2026,Performance Max,0,0,128.797106,null,0.999748,128.8295710519051,null
19 Feb 2026,Brand,1.115007,2028.513323,109.26935,97.9988018012443,13.139996,8.315782592323469,1819.2830385818204
19 Feb 2026,Other,0,0,0,null,0,null,null
18 Feb 2026,Generic,0.000042,0.107748,614.934021,14641286.214285716,6.180864000000001,99.48997761478006,2565.4285714285716
18 Feb 2026,Performance Max,0,0,63.002468,null,1.179001,53.43716247908187,null
18 Feb 2026,Brand,1.406828,2403.1167720000003,94.578846,67.22843588555246,12.980032,7.286487891555275,1708.1809375417608
18 Feb 2026,Other,0,0,0,null,7,0,null
17 Feb 2026,Generic,0.786267,594.811718,535.415735,680.9591843483194,9.133177,58.623164206715806,756.5009316173768
17 Feb 2026,Brand,2.447217,3141.169108,105.48941400000001,43.10586842114941,15.569444,6.7754130462205335,1283.567868317358
17 Feb 2026,Performance Max,0,0,52.152624,null,0.782427,66.65493905501728,null
17 Feb 2026,Other,0,0,0,null,0.220158,0,null
16 Feb 2026,Generic,1.605829,2136.693476,580.138824,361.2706110052814,9.399877,61.71770375293209,1330.5859316278384
16 Feb 2026,Performance Max,0,0,122.517342,null,2.396693,51.119330677729685,null
16 Feb 2026,Brand,0.412064,659.829842,103.141608,250.3048264347286,14.940698,6.903399560047329,1601.2800001941446
16 Feb 2026,Other,0,0,0,null,1,0,null
15 Feb 2026,Generic,0.554301,1085.548619,716.443848,1292.517689847213,13.568362,52.802530474938685,1958.4099956521814
15 Feb 2026,Performance Max,0,0,125.16215299999999,null,0.99848,125.35268908741286,null
15 Feb 2026,Brand,3.002643,6783.639835,141.87070699999998,47.248609641572436,26.488318,5.355972659343639,2259.2229029558293
15 Feb 2026,Other,0,0,0,null,0,null,null
15 Feb 2026,Demand Gen,0,0,0,null,0,null,null
14 Feb 2026,Generic,0,0,540.864958,null,5.650971999999999,95.71184532501667,null
14 Feb 2026,Performance Max,0,0,113.200017,null,5,22.6400034,null
14 Feb 2026,Brand,1.394886,1250.598659,85.451547,61.26059548952387,8.148551,10.486716840822377,896.5597611561087
14 Feb 2026,Other,0,0,0,null,0,null,null
13 Feb 2026,Generic,0,0,538.4980820000001,null,9,59.83312022222223,null
13 Feb 2026,Performance Max,0,0,135.469238,null,0.967183,140.06577659036603,null
13 Feb 2026,Brand,0,0,88.585003,null,5.561103,15.929394402513314,null
13 Feb 2026,Other,0,0,0,null,0,null,null
13 Feb 2026,Demand Gen,0,0,0,null,0,null,null
12 Feb 2026,Generic,0,0,494.652248,null,9.963462000000002,49.64662363343182,null
12 Feb 2026,Performance Max,0,0,143.384091,null,0.716281,200.17854864222284,null
12 Feb 2026,Brand,0,0,87.815415,null,5.834455999999999,15.051174436828388,null
12 Feb 2026,Other,0,0,0,null,0,null,null
12 Feb 2026,Demand Gen,0,0,0,null,0,null,null
11 Feb 2026,Generic,0,0,204.817839,null,3.00078,68.254866734649,null
11 Feb 2026,Brand,0,0,98.988776,null,6.000833,16.495839160996482,null
11 Feb 2026,Performance Max,0,0,59.910047,null,1,59.910047,null
11 Feb 2026,Other,0,0,0,null,0,null,null
11 Feb 2026,Demand Gen,0,0,0,null,0,null,null
10 Feb 2026,Generic,0,0,239.120371,null,3.221317,74.23062399633442,null
10 Feb 2026,Brand,0,0,103.74602000000002,null,31.638206999999998,3.2791371521148474,null
10 Feb 2026,Performance Max,0,0,77.489094,null,2.648455,29.258225644762703,null
10 Feb 2026,Demand Gen,0,0,1.791698,null,0,null,null
10 Feb 2026,Other,0,0,0,null,0,null,null
9 Feb 2026,Generic,0,0,299.954645,null,5.278287,56.8280286767279,null
9 Feb 2026,Performance Max,0,0,102.68344400000001,null,2.421696,42.40145914268348,null
9 Feb 2026,Brand,0.063978,250.059292,90.23265400000001,1410.3700334489984,13.45613,6.705691309462677,3908.5199912469916
9 Feb 2026,Demand Gen,0,0,12.203877,null,0,null,null
9 Feb 2026,Other,0,0,0,null,0.214373,0,null
8 Feb 2026,Generic,0,0,463.835954,null,2.459427,188.59512967857964,null
8 Feb 2026,Performance Max,0,0,95.94366000000001,null,1.634947,58.68303987835692,null
8 Feb 2026,Brand,2,1591.4,104.57783400000001,52.288917000000005,11.07058,9.4464638709083,795.7
8 Feb 2026,Demand Gen,0,0,10.526078,null,0,null,null
8 Feb 2026,Other,0,0,0,null,0,null,null
7 Feb 2026,Generic,0,0,424.91977199999997,null,4.000292,106.22218878021904,null
7 Feb 2026,Performance Max,1,1630.05,97.87928299999999,97.87928299999999,2,48.93964149999999,1630.05
7 Feb 2026,Brand,0,0,111.677334,null,12.641490000000001,8.834190748084284,null
7 Feb 2026,Demand Gen,0,0,10.445454,null,0,null,null
7 Feb 2026,Other,0,0,0,null,0,null,null
6 Feb 2026,Generic,0,0,401.874814,null,2.2991479999999997,174.79292938079675,null
6 Feb 2026,Performance Max,0,0,97.372826,null,1.297156,75.06639602330021,null
6 Feb 2026,Brand,0,0,85.73944,null,11.99764,7.146358783894166,null
6 Feb 2026,Demand Gen,0,0,10.354287,null,0,null,null
6 Feb 2026,Other,0,0,0,null,0.255375,0,null
5 Feb 2026,Generic,2,2921.269999,371.63835099999994,185.81917549999997,4.158595,89.36632468417818,1460.6349995
5 Feb 2026,Performance Max,0,0,93.472156,null,4.00031,23.366228117320908,null
5 Feb 2026,Brand,0.587509,1088.307546,94.69766200000001,161.1850405695913,4.319253,21.92454621204176,1852.40999882555
5 Feb 2026,Demand Gen,0,0,10.603934,null,1,10.603934,null
4 Feb 2026,Generic,0,0,391.180521,null,3.103562,126.04243801154931,null
4 Feb 2026,Performance Max,0,0,101.379947,null,2.500814,40.53877937343601,null
4 Feb 2026,Brand,0.049312,125.648455,89.91621,1823.4143818948735,5.362755,16.766794306284737,2548.029992699546
4 Feb 2026,Demand Gen,0,0,18.100852,null,0,null,null
4 Feb 2026,Other,0,0,0,null,0.499562,0,null
3 Feb 2026,Generic,1,757.81,557.2216990000001,557.2216990000001,8.139508000000001,68.45889198708325,757.81
3 Feb 2026,Performance Max,0,0,283.067233,null,6.5,43.548805076923074,null
3 Feb 2026,Demand Gen,0,0,52.338236,null,0,null,null
3 Feb 2026,Brand,0,0,87.344306,null,10.384482,8.411041205521855,null
3 Feb 2026,Other,0,0,0,null,0,null,null
2 Feb 2026,Generic,0.049312,102.992056,618.432863,12541.224509247242,7.8704160000000005,78.57689644359331,2088.579980532122
2 Feb 2026,Performance Max,0,0,362.812506,null,1.011596,358.6535593260551,null
2 Feb 2026,Demand Gen,0,0,71.347671,null,0.011649,6124.789338140614,null
2 Feb 2026,Brand,2,4580.79,114.388852,57.194426,16.536258999999998,6.917456481541564,2290.395
2 Feb 2026,Other,0,0,0,null,0,null,null
1 Feb 2026,Generic,1.999444,4463.908059,1539.137004,769.7825015354268,13.563163,113.47920864771736,2232.574685262503
1 Feb 2026,Performance Max,0,0,712.826897,null,6.900494,103.30085020000017,null
1 Feb 2026,Demand Gen,0,0,247.617828,null,3,82.539276,null
1 Feb 2026,Brand,4.587323,6074.492037,134.690536,29.361467679515922,24.604578,5.474206304208916,1324.1910449732884
1 Feb 2026,Other,0,0,0,null,0.599361,0,null
31 Jan 2026,Generic,1.9840520000000001,5084.769552,1556.273839,784.3916585855612,13.392736,116.202831072008,2562.8207083282086
31 Jan 2026,Performance Max,1,1300.83,557.083934,557.083934,7.871116,70.77572405234531,1300.83
31 Jan 2026,Demand Gen,0,0,198.578521,null,0,null,null
31 Jan 2026,Brand,6.234324,10068.513408,126.18301199999999,20.240047196777066,23.861238,5.288200553550491,1615.0128559247162
31 Jan 2026,Other,0,0,0,null,0,null,null
30 Jan 2026,Generic,0,0,931.730249,null,11.873234000000002,78.47316485129492,null
30 Jan 2026,Performance Max,0,0,495.424947,null,4.489691,110.34722590040161,null
30 Jan 2026,Demand Gen,0,0,201.93125,null,1,201.93125,null
30 Jan 2026,Brand,2,2130.9599989999997,108.69160000000002,54.34580000000001,14.413353,7.541035038828232,1065.4799994999998
30 Jan 2026,Other,0,0,0,null,0,null,null
29 Jan 2026,Generic,1,443.91,520.465114,520.465114,9.407935,55.321929201254044,443.91
29 Jan 2026,Performance Max,0,0,273.601104,null,2.46575,110.96060184528035,null
29 Jan 2026,Brand,1,887.65,80.30778799999999,80.30778799999999,15.868962000000002,5.060683112102731,887.65
29 Jan 2026,Demand Gen,0,0,13.652686,null,1,13.652686,null
29 Jan 2026,Other,0,0,0,null,0,null,null
28 Jan 2026,Generic,1,1711.32,489.61110700000006,489.61110700000006,18.248023,26.830912422677244,1711.32
28 Jan 2026,Performance Max,0.76694,1757.6961,95.554873,124.59237098078077,2.41104,39.63222219457164,2291.8299997392232
28 Jan 2026,Brand,2,2961.6,65.744057,32.8720285,24.041787,2.734574472355154,1480.8
28 Jan 2026,Demand Gen,0,0,13.991756,null,1,13.991756,null
28 Jan 2026,Other,0,0,0,null,0.195938,0,null
27 Jan 2026,Generic,0.572178,441.898791,611.1745070000002,1068.1545026198146,16.167951000000002,37.80160559615749,772.3099996854127
27 Jan 2026,Performance Max,0,0,67.599479,null,1.004402,67.30321026839852,null
27 Jan 2026,Brand,0,0,77.09652,null,13.696624,5.628870296797225,null
27 Jan 2026,Demand Gen,0,0,13.291603,null,0,null,null
27 Jan 2026,Other,0,0,0,null,0.620065,0,null
26 Jan 2026,Generic,0,0,686.6676980000001,null,5.257625,130.60416024345594,null
26 Jan 2026,Performance Max,0.584488,550.079191,77.194801,132.07251645884946,1.538184,50.18567414561587,941.1299992472044
26 Jan 2026,Brand,2,3425.83,72.190237,36.0951185,11.613888,6.215854414990053,1712.915
26 Jan 2026,Demand Gen,0,0,14.382023,null,1,14.382023,null
26 Jan 2026,Other,0,0,0,null,0,null,null
25 Jan 2026,Generic,0,0,843.893597,null,9.175019,91.97731328948745,null
25 Jan 2026,Performance Max,0,0,77.566472,null,2.602819,29.800947357461276,null
25 Jan 2026,Brand,1,6279.2,82.588211,82.588211,21.050472,3.923342478971493,6279.2
25 Jan 2026,Demand Gen,0,0,14.179104,null,1,14.179104,null
24 Jan 2026,Generic,0,0,727.7767010000001,null,9.108429,79.90145183104575,null
24 Jan 2026,Performance Max,0,0,65.149881,null,2.061762,31.59912783337747,null
24 Jan 2026,Brand,1,2635.34,84.025762,84.025762,21.299254,3.9450096233417375,2635.34
24 Jan 2026,Demand Gen,0,0,14.622104,null,0,null,null
23 Jan 2026,Generic,0,0,694.9011859999998,null,7.127785,97.49188366371878,null
23 Jan 2026,Performance Max,0,0,85.768116,null,0,null,null
23 Jan 2026,Brand,1,1430.71,86.485058,86.485058,10.865677,7.959472566688666,1430.71
23 Jan 2026,Demand Gen,0,0,14.794932,null,0.002377,6224.2036180058885,null
